pattern,group
ertapenem,carbapenem
amoxicillin,penicillin
ampicillin,penicillin
azithromycin,macrolide
aztreonam,monobactam
cefazolin,cephalosporin
ceftazidime,cephalosporin
ceftriaxone,cephalosporin
cefepime,cephalosporin
cefpodoxime,cephalosporin
ciprofloxacin,fluoroquinolone
clarithromycin,macrolide
clindamycin,lincosamide
daptomycin,lipopeptide
doxycycline,tetracycline
erythromycin,macrolide
fluconazole,antifungal
levofloxacin,fluoroquinolone
linezolid,oxazolidinone
meropenem,carbapenem
metronidazole,nitroimidazole
moxifloxacin,fluoroquinolone
piperacillin-tazobactam,penicillin
sulfameth,folate_antagonist
tigecycline,tetracycline
tobramycin,aminoglycoside
trimethoprim,folate_antagonist
vancomycin,glycopeptide
voriconazole,antifungal
